,subTypeName,dealnum,close,open,low,average,dealamount,indate,high,deal
161,重庆,0,10,10,10,0,0,2016/6/29,10,10
162,北京,16053,52.13,52.13,52.13,0,836908,2016/6/28,52.13,52.13
163,上海,326095,8.9,8.7,8.3,0,2820540,2016/6/28,9,8.65
164,广东,53038,8.6,9.43,8.49,0,518181,2016/6/28,10.37,9.77
165,天津,60,14.6,14.6,14.6,0,876,2016/6/28,14.6,14.6
166,SZ2013,465,41.86,34.25,34.25,0,15933.9,2016/6/28,41.86,34.27
167,SZ2014,35,43.56,35.64,43.56,0,1255.32,2016/6/28,43.56,35.87
168,SZ2015,29475,40,36,36,0,1079050,2016/6/28,44,36.61
169,湖北,3495,16.6,16.51,16.51,0,57882.4,2016/6/28,16.6,16.56
170,重庆,0,10,10,10,0,0,2016/6/28,10,10
171,北京,7646,55.55,55.55,55.55,0,424729,2016/6/27,55.55,55.55
172,上海,156003,9.2,9.3,8.9,0,1416060,2016/6/27,9.3,9.08
173,广东,13117,9.43,9.32,8.39,0,123744,2016/6/27,10.25,9.42
174,天津,38266,7.92,7.92,7.92,0,302933,2016/6/27,7.92,7.92
175,SZ2014,3220,39.6,39.6,39.6,0,127512,2016/6/27,39.6,39.6
